EntryYear,ShipName,Text
1799,KEMPHAAN,"On 20 August 1799, a British force under the command of Lieutenant-General Thomas Trigge and Vice Admiral the Right Honourable Lord Hugh Seymour captured the Dutch colony of Suriname. Among the various items of booty was the Dutch brig-sloop Kemphaan and the French corvette Hussard. Kemphaan was under the command of Kaptain P. Smeer, and was described as having an armament of sixteen 6-pounder guns. Seymour appointed Lieutenant Richard Thwaite, of Prince of Wales to command Camphaan."
1802,KEMPHAAN,Camphaan was sold in April 1802 for breaking up.
1799,KEMPHAAN,"van Maanen, Ron, Preliminary list of Dutch naval vessel built or required in the period 1700-1799. Unpublished manuscript:[1]"
1781,KEMPHAAN,"The Dutch cutter Kemphaan, meaning ""game cock"", was launched in 1781 as a 12-gun advice boat, with a mission of carrying dispatches between the Netherlands and its colonies. The Dutch increased her length by almost a quarter in 1787, gave her six more guns, and made a brig-sloop out of her. The British captured her in 1799 when they captured Suriname. She then served briefly in the Royal Navy as HMS Camphaan before she was broken up in early 1802."
1780,KEMPHAAN,"There are accounts of Kemphaan's service in the 1780s (in Dutch). In 1782 she was under the command of Lieutenant Johannes Janse Eye (Jean Jantzen Eye). In 1787 the Dutch extended Kemphaan and converted her to a brig-sloop. Between October 1793 and 31 August 1794, Captain Frans Smeer escorted a convoy of merchantmen to the West Indies."
1799,KEMPHAAN,"On 20 August 1799, a British force under the command of Lieutenant-General Thomas Trigge and Vice Admiral the Right Honourable Lord Hugh Seymour captured the Dutch colony of Suriname. Among the various items of booty was the Dutch brig-sloop Kemphaan and the French corvette Hussard. Kemphaan was under the command of Kaptain P. Smeer, and was described as having an armament of sixteen 6-pounder guns. Seymour appointed Lieutenant Richard Thwaite, of Prince of Wales to command Camphaan."
1802,KEMPHAAN,Camphaan was sold in April 1802 for breaking up.
1799,KEMPHAAN,"van Maanen, Ron, Preliminary list of Dutch naval vessel built or required in the period 1700-1799. Unpublished manuscript:[1]"
1781,KEMPHAAN,"The Dutch cutter Kemphaan, meaning ""game cock"", was launched in 1781 as a 12-gun advice boat, with a mission of carrying dispatches between the Netherlands and its colonies. The Dutch increased her length by almost a quarter in 1787, gave her six more guns, and made a brig-sloop out of her. The British captured her in 1799 when they captured Suriname. She then served briefly in the Royal Navy as HMS Camphaan before she was broken up in early 1802."
1780,KEMPHAAN,"There are accounts of Kemphaan's service in the 1780s (in Dutch). In 1782 she was under the command of Lieutenant Johannes Janse Eye (Jean Jantzen Eye). In 1787 the Dutch extended Kemphaan and converted her to a brig-sloop. Between October 1793 and 31 August 1794, Captain Frans Smeer escorted a convoy of merchantmen to the West Indies."
1799,KEMPHAAN,"On 20 August 1799, a British force under the command of Lieutenant-General Thomas Trigge and Vice Admiral the Right Honourable Lord Hugh Seymour captured the Dutch colony of Suriname. Among the various items of booty was the Dutch brig-sloop Kemphaan and the French corvette Hussard. Kemphaan was under the command of Kaptain P. Smeer, and was described as having an armament of sixteen 6-pounder guns. Seymour appointed Lieutenant Richard Thwaite, of Prince of Wales to command Camphaan."
1802,KEMPHAAN,Camphaan was sold in April 1802 for breaking up.
1799,KEMPHAAN,"van Maanen, Ron, Preliminary list of Dutch naval vessel built or required in the period 1700-1799. Unpublished manuscript:[1]"
1789,KOMEET,The Dutch brig Komeet was launched in 1789 at Amsterdam. HMS Unicorn captured her on the Irish station in 1795. The British Royal Navy renamed HMS Comeet to HMS Penguin in 1798. She was sold in 1809.
1791,KOMEET,"In 1791 Komeet sailed to Cape of Good Hope, in company with the Dutch naval corvette Scipio, leaving on 17 December 1791. Scipio arrived on 27 March 1792 and Komeet arrived on 4 April."
1795,KOMEET,"In May 1795, Komeet, under the command of Captain-Lieutenant Mynheer Claris, and Scipio, under the command of de Jong, set out with a convoy of nine East Indiamen for Europe. The problem was that France had occupied the Dutch Republic and its successor the Batavian Republic was now a French ally and thus an enemy of Great Britain. The Dutch captains decided to sail via the Shetland Islands to ports in then-neutral Norway."
1789,KOMEET,The Dutch brig Komeet was launched in 1789 at Amsterdam. HMS Unicorn captured her on the Irish station in 1795. The British Royal Navy renamed HMS Comeet to HMS Penguin in 1798. She was sold in 1809.
1791,KOMEET,"In 1791 Komeet sailed to Cape of Good Hope, in company with the Dutch naval corvette Scipio, leaving on 17 December 1791. Scipio arrived on 27 March 1792 and Komeet arrived on 4 April."
1795,KOMEET,"In May 1795, Komeet, under the command of Captain-Lieutenant Mynheer Claris, and Scipio, under the command of de Jong, set out with a convoy of nine East Indiamen for Europe. The problem was that France had occupied the Dutch Republic and its successor the Batavian Republic was now a French ally and thus an enemy of Great Britain. The Dutch captains decided to sail via the Shetland Islands to ports in then-neutral Norway."
1789,KOMEET,The Dutch brig Komeet was launched in 1789 at Amsterdam. HMS Unicorn captured her on the Irish station in 1795. The British Royal Navy renamed HMS Comeet to HMS Penguin in 1798. She was sold in 1809.
1791,KOMEET,"In 1791 Komeet sailed to Cape of Good Hope, in company with the Dutch naval corvette Scipio, leaving on 17 December 1791. Scipio arrived on 27 March 1792 and Komeet arrived on 4 April."
1795,KOMEET,"In May 1795, Komeet, under the command of Captain-Lieutenant Mynheer Claris, and Scipio, under the command of de Jong, set out with a convoy of nine East Indiamen for Europe. The problem was that France had occupied the Dutch Republic and its successor the Batavian Republic was now a French ally and thus an enemy of Great Britain. The Dutch captains decided to sail via the Shetland Islands to ports in then-neutral Norway."
1777,SCARBOROUGH,His Majesty's hired armed ship Countess of Scarborough was a 22-gun ship that the Royal Navy hired in 1777. She participated in the capture of two privateers before she and HMS Serapis (1779) succumbed to a small American flotilla off Flamborough Head in 1779. Her subsequent fate is unknown.
1777,SCARBOROUGH,The Royal Navy commissioned Countess of Scarborough in November 1777 under the command of Captain Thomas Piercy.
1779,SCARBOROUGH,"Countess of Scarborough and Medea shared in the capture, on 17 June 1779, of the French privateers Due de la Vauguyon and Comte de Maurepas. Medea captured Due de la Vauguyon (or Duc de Lavaugnon) of Dunkirk, a cutter of 14 guns and 98 men, after a fight of an hour. The fight cost the French four men killed and ten wounded; Medea had no casualties. Duc de la Vauguyon had been launched in 1779 and was under the command of Commandante Marin Le Page. The British took her into service as Duc de la Vauginon."
1779,SCARBOROUGH,"On 23 September 1779 Serapis and Countess of Scarborough were escorting the Baltic fleet home when they encountered a small Franco-American squadron under the command John Paul Jones in Bonhomme Richard, and including the frigates Alliance and Pallas."
1779,SCARBOROUGH,"The court martial on 10 March 1780 for the loss of his ship acquitted Piercy, his officers and men, stating they ""have in the execution of such duty done infinite credit to themselves by a very obstinate defence against a superior force."" Piercy soon after received a promotion to post-captain. The Court of Directors of the Royal Exchange Assurance Company voted to present him with a piece of plate worth 50 guineas, ""as a testimony of their approbation of his bravery and conduct in protecting the valuable fleet from the Baltic under his care."" The Scarborough Borough Council on 25 October 1779 presented Piercy with the ""Freedom of the Borough"" and a silver casket lined with heart of oak made by James Phipps of London (c. 1779-1783). Piercy died on 1 October 1793 and was interred in the cloisters of Canterbury Cathedral."
1783,SCARBOROUGH,"Beatson, Robert (1804) Naval and military memoirs of Great Britain, from 1727 to 1783. Vol 4. (Longman, Hurst, Rees and Orme)."
1763,DEFENCE,"Defence, launched in 1763, fought in many battles in the American Revolutionary War, the French Revolutionary Wars and the Napoleonic Wars."
1815,DEFENCE,"Defence was a 74 gun ship of the line, built in 1815 and broken up in 1857."
1782,DIADEM,HMS Diadem was a 64-gun third rate ship of the line launched in 1782. She became a troopship in 1798 and was broken up in 1832.
1798,DIADEM,HMS Diadem was a 14-gun sloop launched as Diadem in 1798 that the Admiralty purchased in 1801 and renamed HMS Falcon in 1802. The Admiralty sold her in 1816. Her buyers renamed her Duke of Wellington. She was wrecked at Batavia in 1820.
1757,DIANA,"HMS Diana (1757), a 32-gun fifth rate launched in 1757, commanded by Alexander Schomberg c.1758/59, and sold in 1793."
1775,DIANA,"HMS Diana (1775), a six gun schooner purchased in 1775 in North America, abandoned and burnt out later that year."
1794,DIANA,"HMS Diana (1794), a 38-gun fifth rate launched in 1794 and sold in 1815 to the Dutch Navy She was accidentally destroyed while in dry-dock on the 16 January 1839."
1807,DIANA,"HMS Diana (1807), a 10-gun cutter purchased in 1807 and wrecked on Rodriguez Island in 1810."
1822,DIANA,"HMS Diana (1822), a 46-gun fifth rate launched in 1822, converted to harbour service in 1868 and broken up in 1874."
1836,DIANA,"HMS Diana (1836), an Indian wooden paddle vessel launched in 1836 and sold in 1846."
1823,DIANA,"Diana (1823), an East India Company wooden paddle vessel launched in 1823 and purchased in 1824. She was sold in 1826 to the Burmese government and broken up in 1836."
1756,DILIGENCE,"HMS Diligence was an eight-gun sloop built in 1756, renamed Comet and converted to a fireship in 1779, but sold that year."
1795,DILIGENCE,"HMS Diligence was an 18-gun brig sloop. Originally HMS Spencer, she was renamed HMS Diligence before being launched in 1795. She was lost in 1800."
1801,DILIGENCE,"HMS Diligence was the former mercantile Union, purchased in 1801 and sold in 1812,"
1781,DIOMEDE,HMS Diomede (1781) was a 44-gun Fourth Rate two-decker launched in 1781 and wrecked in 1795.
1794,DIOMEDE,HMS Diomede (1798) was a 50-gun fourth-rate built as HMS Firm but renamed in 1794 and launched in 1798. She was sold in 1815.
1763,DOVER CASTLE,HMS Dover was a 44-gun fifth rate launched in 1740 and sold in 1763.
1786,DOVER CASTLE,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants."
1804,DOVER CASTLE,"HMS Dover was a 38-gun fifth rate, previously the East Indiaman Carron. She was purchased in 1804 and renamed HMS Duncan in 1807. She was renamed HMS Dover in 1807 and was wrecked in 1811."
1808,DOVER CASTLE,"HMS Dover was a 38-gun troopship, previously the French corvette Bellona, launched at Venice in 1808. She was captured in 1811, used for harbour service from 1825, and sold in 1836."
1840,DOVER CASTLE,"HMS Dover was an iron paddle packet launched in 1840. She was the first iron ship in the Royal Navy, and was sold in 1866."
1757,DRAGON,"HMS Dragon, a 60-gun fourth-rate ship of the line launched in 1736, and scuttled as a breakwater in 1757."
1760,DRAGON,"HMS Dragon, a 74-gun third-rate ship of the line built in 1760 and sold in 1784."
1798,DRAGON,"HMS Dragon, a 74-gun third-rate ship of the line built in 1798 at Rotherhithe. Refitted in 1814, she served until 1815. She was broken up in 1850."
1845,DRAGON,"HMS Dragon, a 6-gun wooden paddle second-rate frigate built in 1845 and sold 1865, designed by Sir William Symonds, which served in the Baltic during the Crimean War."
1761,DRAGON,Belleisle 1761
1762,DRAGON,Martinique 1762
1762,DRAGON,Havana 1762
1801,DRAGON,Egypt 1801
1805,DRAGON,Calder's Action 1805
1750,DRAGON,== Frigates from 1719 to 1750 ==
1750,DRAGON,=== Fifth-rate frigates 1719 to 1750 ===
1777,DROMEDARY,"HMS Dromedary was a 30-gun storeship, formerly the merchant Duke of Cumberland. She was purchased in 1777, and was registered as a fifth rate from 1779. She was broken up in 1783."
1782,DROMEDARY,"HMS Dromedary was a 24-gun storeship, originally launched in 1782 as the 44-gun fifth rate HMS Janus. She was converted to a storeship and renamed Dromedary in 1788, and was wrecked in 1800."
1805,DROMEDARY,"HMS Dromedary was a 24-gun storeship, formerly the merchant Kaikusroo. She was purchased in 1805 as a 40-gun and named HMS Howe, and then HMS Dromedary in 1806. She was later a convict ship and a prison hulk, and was broken up in 1864."
1761,DRUID,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.
1776,DRUID,"HMS Druid was a 16-gun sloop, formerly in civilian service under the name Brilliant. She was purchased in 1776, converted into a fire ship and renamed HMS Blast in 1779, and was finally sold in 1783."
1783,DRUID,"HMS Druid was a 32-gun fifth rate launched in 1783, converted into a troopship in 1798 and broken up in 1813."
1825,DRUID,HMS Druid was a 46-gun fifth rate launched in 1825 and sold in 1863.
1752,DUBLIN,HMS Dublin (1709) was a 10-gun yacht launched in 1707 and broken up in 1752.
1753,DUBLIN,HMS Dublin was to have been a 10-gun yacht. She was renamed HMS Dorset (1753) before her launch in 1753 and was sold in 1815.
1757,DUBLIN,HMS Dublin (1757) was a 74-gun third-rate Dublin class ship of the line launched in 1757 and broken up in 1784.
1812,DUBLIN,"HMS Dublin (1812) was 74-gun third-rate launched in 1812. She was reduced to 50 guns in 1826, and was relegated to harbour duties in 1845. She was sold for scrapping in 1885."
1754,DUNKIRK,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.
1754,DUNKIRK,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.
1758,ECHO,HMS Echo was a 24-gun sixth-rate captured from the French in 1758 and sold in 1770.
1779,ECHO,"HMS Echo was the French Cerf-class brig-rigged cutter Hussard, of eighteen 6-pounder guns, launched in 1779 or '80 at Saint Malo. Nonsuch, under the command of Sir James Wallace, captured her on 7 July 1780; in February 1781 a gust of wind in Deadman's Bay, near Plymouth, caused her to wreck."
1782,ECHO,HMS Echo was a 16-gun sloop launched in 1782 and broken up in 1797.
1797,ECHO,HMS Echo was a 16-gun sloop launched in 1797 and sold in 1809.
1809,ECHO,HMS Echo was an 18-gun Cruizer-class brig-sloop launched in 1809 and broken up in 1817.
1827,ECHO,"HMS Echo was a wooden paddle vessel launched in 1827, converted to a tugboat in 1830, and sold in 1885."
1758,ECHO,HMS Echo was a 24-gun sixth-rate captured from the French in 1758 and sold in 1770.
1779,ECHO,"HMS Echo was the French Cerf-class brig-rigged cutter Hussard, of eighteen 6-pounder guns, launched in 1779 or '80 at Saint Malo. Nonsuch, under the command of Sir James Wallace, captured her on 7 July 1780; in February 1781 a gust of wind in Deadman's Bay, near Plymouth, caused her to wreck."
1782,ECHO,HMS Echo was a 16-gun sloop launched in 1782 and broken up in 1797.
1797,ECHO,HMS Echo was a 16-gun sloop launched in 1797 and sold in 1809.
1809,ECHO,HMS Echo was an 18-gun Cruizer-class brig-sloop launched in 1809 and broken up in 1817.
1827,ECHO,"HMS Echo was a wooden paddle vessel launched in 1827, converted to a tugboat in 1830, and sold in 1885."
1758,ECHO,HMS Echo was a 24-gun sixth-rate captured from the French in 1758 and sold in 1770.
1779,ECHO,"HMS Echo was the French Cerf-class brig-rigged cutter Hussard, of eighteen 6-pounder guns, launched in 1779 or '80 at Saint Malo. Nonsuch, under the command of Sir James Wallace, captured her on 7 July 1780; in February 1781 a gust of wind in Deadman's Bay, near Plymouth, caused her to wreck."
1782,ECHO,HMS Echo was a 16-gun sloop launched in 1782 and broken up in 1797.
1797,ECHO,HMS Echo was a 16-gun sloop launched in 1797 and sold in 1809.
1809,ECHO,HMS Echo was an 18-gun Cruizer-class brig-sloop launched in 1809 and broken up in 1817.
1827,ECHO,"HMS Echo was a wooden paddle vessel launched in 1827, converted to a tugboat in 1830, and sold in 1885."
1765,EGMONT,"Port Egmont was established in on 25 January 1765, by an expedition led by Commodore John Byron consisting of the boats HMS Dolphin, HMS Tamar and HMS Florida. The expedition left a watering place and a vegetable garden."
1766,EGMONT,"Another expedition arrived around a year later in January 1766, led by Captain John MacBride, with the ships HMS Jason, HMS Carcass and HMS Experiment after which Carcass Island and the Jason Islands are named. This was to secure possession, and McBride ordered one of the ships to stay at Port Egmont, and develop the settlement, resulting in several permanent buildings and a garrison."
1770,EGMONT,"The next few years resulted in conflicting claims with the French and Spanish, with the British using Port Egmont as a basis for their claim. In early 1770 Spanish commander Don Juan Ignacio de Madariaga briefly visited Port Egmont. He returned from Argentina on 10 June with five armed ships and a 1400 soldiers forcing the British to leave Port Egmont."
1771,EGMONT,"In 1771, after threats of war with Spain, the colony was re-established by Captain John Stott with the ships HMS Juno, HMS Hound and HMS Florida, the latter being at the founding of the original settlement. The port became an important stop for ships going around Cape Horn"
1774,EGMONT,"In 1774, Britain abandoned many of its overseas garrisons for economic reasons and Port Egmont was no exception, and in 1776, the British forces left. In the next few years, the colony was taken over by sealers, until in 1780 it was finally destroyed under orders from Spanish authorities."
1768,EGMONT,"HMS Egmont, a 74-gun third rate ship of the line launched in 1768, and broken up in 1799."
1810,EGMONT,"HMS Egmont, another 74-gun third rate ship of the line, launched in 1810 and sold in 1875."
1776,ELEPHANT,HMS Elephant (1776) - a 10-gun storeship purchased 1776 and sold 1779.
1786,ELEPHANT,"HMS Elephant (1786) - a 74-gun third-rate launched in 1786, reduced to a 58-gun fourth-rate in 1818, and broken up in 1830."
1766,ELIZA,HMS Elizabeth was a 70-gun third rate launched in 1706. She was rebuilt to carry 64 guns in 1737 and was broken up by 1766.
1769,ELIZA,"HMS Elizabeth was a 74-gun third-rate ship of the line launched in 1769. She served in the American War of Independence and the French Revolutionary War, and was broken up in 1797."
1807,ELIZA,HMS Elizabeth was a 74-gun third-rate ship of the line launched in 1807. She served in the Napoleonic Wars and was broken up in 1820.
1795,ELIZA,HMS Elizabeth was a 3-gun gunvessel purchased in 1795 and in service until at least 1801.
1805,ELIZA,HMS Elizabeth was a 10-gun cutter captured from the Spanish in 1805. She foundered in 1807.
1806,ELIZA,HMS Elizabeth was a 12-gun schooner captured from the French in 1806. She capsized in 1814.
1750,ELTHAM,"Seeds of Discontent: The Deep Roots of the American Revolution, 1650-1750 By J. Revell Car, p. 244"
1755,ELTHAM,"A summary, historical and political, of the first planting, progressive ...By William Douglass, 1755. p.341"
1757,EMERALD,"HMS Emerald (1757) was a 28-gun sixth-rate, originally the French Emeraude. She was captured in 1757 by HMS Southampton, and broken up in 1761."
1762,EMERALD,HMS Emerald (1762) was a 32-gun fifth-rate launched in 1762 and broken up in 1793.
1795,EMERALD,HMS Emerald (1795) was a 36-gun fifth-rate launched in 1795 and broken up in 1836.
1820,EMERALD,HMS Emerald (1820) was a tender purchased in 1820 and broken up in 1847.
1816,EMERALD,A fictional frigate named Emerald is commanded at the Battle of Camperdown by the title character in Lady Caroline Lamb's 1816 novel Glenarvon.
1769,ENDEAVOUR,"HMS Endeavour, also known as HM Bark Endeavour, was a British Royal Navy research vessel that Lieutenant James Cook commanded on his first voyage of discovery, to Australia and New Zealand, from 1769 to 1771."
1764,ENDEAVOUR,"She was launched in 1764 as the collier Earl of Pembroke, and the navy purchased her in 1768 for a scientific mission to the Pacific Ocean and to explore the seas for the surmised Terra Australis Incognita or ""unknown southern land"". The navy renamed and commissioned her as His Majesty's Bark the Endeavour. She departed Plymouth in August 1768, rounded Cape Horn, and reached Tahiti in time to observe the 1769 transit of Venus across the Sun. She then set sail into the largely uncharted ocean to the south, stopping at the Pacific islands of Huahine, Bora Bora, and Raiatea to allow Cook to claim them for Great Britain. In September 1769, she anchored off New Zealand, the first European vessel to reach the islands since Abel Tasman's Heemskerck 127 years earlier."
1770,ENDEAVOUR,"In April 1770, Endeavour became the first ship to reach the east coast of Australia, when Cook went ashore at what is now known as Botany Bay. Endeavour then sailed north along the Australian coast. She narrowly avoided disaster after running aground on the Great Barrier Reef, and Cook had to throw her guns overboard to lighten her. He then beached her on the mainland for seven weeks to permit rudimentary repairs to her hull. On 10 October 1770, she limped into port in Batavia (now named Jakarta) in the Dutch East Indies for more substantial repairs, her crew sworn to secrecy about the lands they had visited. She resumed her westward journey on 26 December, rounded the Cape of Good Hope on 13 March 1771, and reached the English port of Dover on 12 July, having been at sea for nearly three years."
1775,ENDEAVOUR,"Largely forgotten after her epic voyage, Endeavour spent the next three years sailing to and fro the Falkland Islands. Sold into private hands in 1775, and later renamed as Lord Sandwich, she was hired as a troop transport during the American War of Independence and was scuttled in a blockade of Narragansett Bay, Rhode Island, in 1778. Her wreck has not been precisely located, but relics, including six of her cannon and an anchor, are displayed at maritime museums worldwide. A replica of Endeavour was launched in 1994 and is berthed alongside the Australian National Maritime Museum in Sydney Harbour. The space shuttle Endeavour is named for the original ship. Endeavour also features on the New Zealand 50-cent coin."
1764,ENDEAVOUR,"Endeavour was originally the merchant collier Earl of Pembroke, built by Thomas Fishburn for Thomas Millner, launched in June 1764 from the coal and whaling port of Whitby in North Yorkshire, and of a type known locally as the Whitby Cat. She was ship-rigged and sturdily built with a broad, flat bow, a square stern, and a long box-like body with a deep hold."
1768,ENDEAVOUR,"On 16 February 1768, the Royal Society petitioned King George III to finance a scientific expedition to the Pacific to study and observe the 1769 transit of Venus across the sun. Royal approval was granted for the expedition, and the Admiralty elected to combine the scientific voyage with a confidential mission to search the south Pacific for signs of the postulated continent Terra Australis Incognita (or ""unknown southern land"")."
1769,ENDEAVOUR,"HMS Endeavour, also known as HM Bark Endeavour, was a British Royal Navy research vessel that Lieutenant James Cook commanded on his first voyage of discovery, to Australia and New Zealand, from 1769 to 1771."
1764,ENDEAVOUR,"She was launched in 1764 as the collier Earl of Pembroke, and the navy purchased her in 1768 for a scientific mission to the Pacific Ocean and to explore the seas for the surmised Terra Australis Incognita or ""unknown southern land"". The navy renamed and commissioned her as His Majesty's Bark the Endeavour. She departed Plymouth in August 1768, rounded Cape Horn, and reached Tahiti in time to observe the 1769 transit of Venus across the Sun. She then set sail into the largely uncharted ocean to the south, stopping at the Pacific islands of Huahine, Bora Bora, and Raiatea to allow Cook to claim them for Great Britain. In September 1769, she anchored off New Zealand, the first European vessel to reach the islands since Abel Tasman's Heemskerck 127 years earlier."
1770,ENDEAVOUR,"In April 1770, Endeavour became the first ship to reach the east coast of Australia, when Cook went ashore at what is now known as Botany Bay. Endeavour then sailed north along the Australian coast. She narrowly avoided disaster after running aground on the Great Barrier Reef, and Cook had to throw her guns overboard to lighten her. He then beached her on the mainland for seven weeks to permit rudimentary repairs to her hull. On 10 October 1770, she limped into port in Batavia (now named Jakarta) in the Dutch East Indies for more substantial repairs, her crew sworn to secrecy about the lands they had visited. She resumed her westward journey on 26 December, rounded the Cape of Good Hope on 13 March 1771, and reached the English port of Dover on 12 July, having been at sea for nearly three years."
1775,ENDEAVOUR,"Largely forgotten after her epic voyage, Endeavour spent the next three years sailing to and fro the Falkland Islands. Sold into private hands in 1775, and later renamed as Lord Sandwich, she was hired as a troop transport during the American War of Independence and was scuttled in a blockade of Narragansett Bay, Rhode Island, in 1778. Her wreck has not been precisely located, but relics, including six of her cannon and an anchor, are displayed at maritime museums worldwide. A replica of Endeavour was launched in 1994 and is berthed alongside the Australian National Maritime Museum in Sydney Harbour. The space shuttle Endeavour is named for the original ship. Endeavour also features on the New Zealand 50-cent coin."
1764,ENDEAVOUR,"Endeavour was originally the merchant collier Earl of Pembroke, built by Thomas Fishburn for Thomas Millner, launched in June 1764 from the coal and whaling port of Whitby in North Yorkshire, and of a type known locally as the Whitby Cat. She was ship-rigged and sturdily built with a broad, flat bow, a square stern, and a long box-like body with a deep hold."
1768,ENDEAVOUR,"On 16 February 1768, the Royal Society petitioned King George III to finance a scientific expedition to the Pacific to study and observe the 1769 transit of Venus across the sun. Royal approval was granted for the expedition, and the Admiralty elected to combine the scientific voyage with a confidential mission to search the south Pacific for signs of the postulated continent Terra Australis Incognita (or ""unknown southern land"")."
1763,ENDEAVOUR,"HMS Endeavour, a cutter purchased in 1763 and sold in 1771"
1763,ENDEAVOUR,"HMS Endeavour, a 14-gun sloop, purchased in 1763 and foundered in 1780 in a hurricane off Jamaica"
1771,ENTERPRISE,HMS Enterprise was a 48-gun fifth rate launched in 1693 as HMS Norwich (1693). She was renamed Enterprise in 1744 as a 44-gun fifth rate and was broken up in 1771.
1774,ENTERPRISE,"HMS Enterprise (1774) was a 28-gun Enterprise-class sixth-rate frigate launched in August 1774, on harbour service from 1790 and broken up in 1807."
1775,ENTERPRISE,HMS Enterprize (1775) was a 10-gun tender captured by the Americans in 1775.
1778,ENTERPRISE,"HMS Enterprise was a ship used for harbour service, launched in 1778 as HMS Resource. Resource was rebuilt as a 22-gun floating battery in 1804, renamed Enterprise in 1806 and sold in 1816."
1824,ENTERPRISE,HMS Enterprise (1824) was a wooden paddle gunvessel purchased in 1824 and in service until 1830.
1848,ENTERPRISE,"HMS Enterprise (1848) was a survey sloop launched in 1848, used as a coal hulk from 1860 and sold in 1903."
1839,ENTERPRISE,"Enterprise, was a British East India Company's armed paddle steamer that served alongside the Fleet in the First China War from 1839 to 1840 and the Second Burmese War in 1852."
1759,ESSEX,"HMS Essex (1679), a 70-gun third-rate ship launched in 1679 and wrecked at the Battle of Quiberon Bay in 1759"
1760,ESSEX,"HMS Essex (1760), a 64-gun third-rate ship launched in 1760 and sold in 1799"
1814,ESSEX,"HMS Essex (1814), an American sailing frigate originally named USS Essex, captured by the British in 1814, used as a prison ship from 1823, and sold in 1837"
1820,ESSEX,"This article categorises frigates according to the weight of the projectile fired by the main battery; the first 'true' frigates in the 1740s carried either 6-pounder or 8-pounder guns, but development soon standardised around the 12-pounder frigate, carrying thirteen pairs (occasionally fourteen pairs) of 12-pounder guns on the upper deck, and usually three pairs of 6-pounder guns on the quarterdeck and forecastle (collectively referred to as the ""gaillards"" in French). During the American Revolutionary War, larger types carrying an 18-pounder or even 24-pounder main battery (and more secondary guns on the gaillards) were introduced, and following the French Revolution these became predominant. Finally in the 1820s, a new type of 30-pounder armed frigate was brought into service."
1780,ESSEX,"The number of guns is as rated; from the 1780s, many carried some obusiers (from 1800, carronades) or swivels also."
1812,EUPHRATES,"HMS Euphrates was a 36-gun fifth rate built as HMS Greyhound, but renamed in 1812 and launched in 1813. She was sold in 1818."
1831,EUPHRATES,"HMS Euphrates was to have been a 46-gun fifth rate. She was laid down, but cancelled in 1831."
1828,EUPHRATES,HMS Euphrates was a 10-gun brig launched in 1828.
1834,EUPHRATES,HMS Euphrates was a paddle gunboat built in Britain and re-erected on the Tigris in 1834. Her fate is unknown.
1847,EUPHRATES,"HMS Euphrates was to have been a wooden screw frigate, laid down in 1847 and cancelled in 1849."
1765,EUROPA,HMS Europa was a 64-gun third rate launched in 1765. She was renamed HMS Europe in 1778 and was broken up in 1814.
1782,EUROPA,HMS Europa was a gunboat commissioned in 1782.
1783,EUROPA,HMS Europa was a 50-gun fourth rate launched in 1783. She became a troopship in 1798 and was sold in 1814.
1803,EURYALUS,"Euryalus, launched 1803, was a frigate. Captained by Henry Blackwood, she was at the Battle of Trafalgar, where she was Collingwood's flagship after the death of Nelson. She was broken up in Gibraltar in 1860."
1784,EXPEDITION,Prince Frederick was sold out of the navy in 1784.
1757,EXPERIMENT,"HMS Experiment (1740) was a 24-gun sixth-rate, launched in 1740 and sold in 1763. She captured the French privateer Telemaque in 1757 and had a young John Jervis serving on board her."
1765,EXPERIMENT,"HMS Experiment (1765) was a storeship, purchased in 1765 and sold in 1768."
1772,EXPERIMENT,"HMS Experiment (1772) was a gunboat, built in 1772. Her fate is unknown. Possibly lost in the Great Hurricane of 1780"
1774,EXPERIMENT,"HMS Experiment (1774) was a 50-gun fourth-rate launched in 1774. The French 50-gun ship Sagittaire captured her off the North American coast in September 1779, during the American Revolutionary War, along with three merchantmen."
1781,EXPERIMENT,HMS Experiment (1781) was a 14-gun brig sloop purchased in 1781 and sold in 1785.
1784,EXPERIMENT,"HMS Experiment (1784) was a 44-gun fifth-rate launched in 1784, used as a storeship from 1795 and for harbour service from 1805. She was sold in 1836. Because Experiment served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants."
1793,EXPERIMENT,HMS Experiment (1793) was a 10-gun lugger launched in 1793 and captured by the Spanish in the Mediterranean in 1796. The British privateer Felicity recaptured her in early 1806 but the Royal Navy did not take her back into service.
1794,EXPERIMENT,HMS Experiment (1794) was a fire ship purchased in 1794 and sold in 1801.
1799,EXPERIMENT,"HMS Experiment (1799) was a 2-gun gunboat launched in 1799, gone from the Navy List by 1809."
1838,EXPERIMENT,HMS Experiment (1838) was a wood paddle sloop serving on the Canadian Lakes. She was purchased in 1838 and sold in 1848.
