shipName,company,rank,voyageID,captainName,nationality,rank2,toPlace,captainName2,shipType,fromPlace,voyageStart,WIkiText,CareerStart,CareerEnd,Guns
Dover Castle,EIC,Captain,625,George Richardson,British,,Bengal via St Helena,,,Portsmouth,1804-05-15,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,628,George Richardson,British,,Bombay via Madeira and Johanna,,,Portsmouth,1809-04-30,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,629,George Richardson,British,,Downs via Table Bay and St Helena,,,Madas,1807-10-25,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,630,George Richardson,British,,Downs via St Helena,,,Point De Galle,1810-02-24,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,631,George Richardson,British,,St Helena via Table Bay,,,Madras,1812-10-29,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,710,Peter Sampson,British,,Downs UK via St Helena,,,Madras,1803-03-02,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dover Castle,EIC,Captain,711,Peter Sampson,British,,Madras,,,Motherbank,1801-04-04,"HMS Dover was a 44-gun fifth rate launched in 1786, converted to an armed transport by 1799, and burnt by accident in 1806. Because Dover served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1786-01-01,1847-01-01,44
Dragon,EIC,Captain,138,Henry Kent,British,1st Officer/Master,Cape of Good Hope,Thomas Reading,,Anjengo,1750-03-05,"HMS Dragon, a 60-gun fourth-rate ship of the line launched in 1736, and scuttled as a breakwater in 1757.",1736-01-01,1757-01-01,60
Dragon,EIC,Captain,139,Henry Kent,British,1st Officer/Master,St Helena,Thomas Reading,,Cape of Good Hope,1750-05-13,"HMS Dragon, a 60-gun fourth-rate ship of the line launched in 1736, and scuttled as a breakwater in 1757.",1736-01-01,1757-01-01,60
Dragon,EIC,Captain,140,Henry Kent,British,1st Officer/Master,UK,Thomas Reading,,St Helena,1750-06-15,"HMS Dragon, a 60-gun fourth-rate ship of the line launched in 1736, and scuttled as a breakwater in 1757.",1736-01-01,1757-01-01,60
Dromedary,RN,Captain,1165,Richard Hills,British,,Plymouth,,Storeship,Martinique,1795-05-27,"HMS Dromedary was a 24-gun storeship, originally launched in 1782 as the 44-gun fifth rate HMS Janus. She was converted to a storeship and renamed Dromedary in 1788, and was wrecked in 1800.",1782-01-01,1800-01-01,44
Dromedary,RN,Captain,1166,Thomas White,British,,Downs UK,,Storeship,Jamaica,1799-08-11,"HMS Dromedary was a 24-gun storeship, originally launched in 1782 as the 44-gun fifth rate HMS Janus. She was converted to a storeship and renamed Dromedary in 1788, and was wrecked in 1800.",1782-01-01,1800-01-01,44
Dromedary,RN,Captain,1167,Thomas Leef,British,,Barbados,,Storeship,Spithead,1798-01-10,"HMS Dromedary was a 24-gun storeship, originally launched in 1782 as the 44-gun fifth rate HMS Janus. She was converted to a storeship and renamed Dromedary in 1788, and was wrecked in 1800.",1782-01-01,1800-01-01,44
Druid,RN,Captain,4104,John Luttrell,British,,Barbados,,Sloop,Madeira,1763-10-22,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.,1761-01-01,1773-01-01,10
Druid,RN,Captain,4105,John Challoner Jackson,British,,Madeira,,Sloop,Torbay,1768-03-03,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.,1761-01-01,1773-01-01,10
Druid,RN,Captain,4106,John Challoner Jackson,British,,Antigua,,Sloop,Madeira,1768-03-18,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.,1761-01-01,1773-01-01,10
Druid,RN,Captain,4107,John Challoner Jackson,British,,"Port Royal, Jamaica",,Sloop,Charlestown,1769-01-02,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.,1761-01-01,1773-01-01,10
Druid,RN,,4108,,British,,Spithead,,Sloop,"Port Royal, Jamaica",1771-09-24,HMS Druid was a 10-gun sloop launched in 1761 and sunk as a breakwater in 1773.,1761-01-01,1773-01-01,10
Druid,RN,Captain,1168,Joseph Ellison,British,1st Officer/Master,Plymouth,John Buller,5th Rate,Cork (western approaches),1793-05-08,"HMS Druid was a 32-gun fifth rate launched in 1783, converted into a troopship in 1798 and broken up in 1813.",1783-01-01,1813-01-01,32
Druid,RN,Captain,1169,Joseph Ellison,British,1st Officer/Master,,John Buller,5th Rate,Plymouth via Lisbon,1793-08-03,"HMS Druid was a 32-gun fifth rate launched in 1783, converted into a troopship in 1798 and broken up in 1813.",1783-01-01,1813-01-01,32
Dublin,RN,Captain,3924,George Bridges Rodney,British,,cruising western approaches,,3rd Rate,Spithead,1757-11-20,HMS Dublin was to have been a 10-gun yacht. She was renamed HMS Dorset (1753) before her launch in 1753 and was sold in 1815.,1753-01-01,1815-01-01,10
Dublin,RN,Captain,3925,George Bridges Rodney,British,,Halifax,,3rd Rate,Spithead,1758-04-01,HMS Dublin was to have been a 10-gun yacht. She was renamed HMS Dorset (1753) before her launch in 1753 and was sold in 1815.,1753-01-01,1815-01-01,10
Dublin,RN,Captain,3926,George Bridges Rodney,British,,Spithead,,3rd Rate,Louisbourg,1758-08-18,HMS Dublin was to have been a 10-gun yacht. She was renamed HMS Dorset (1753) before her launch in 1753 and was sold in 1815.,1753-01-01,1815-01-01,10
Dublin,RN,Captain,3927,George Bridges Rodney,British,,St Johns (Antigua),,3rd Rate,Spithead,1760-04-14,HMS Dublin was to have been a 10-gun yacht. She was renamed HMS Dorset (1753) before her launch in 1753 and was sold in 1815.,1753-01-01,1815-01-01,10
Dunkirk,RN,Captain,345,Robert Digby,British,,Goree,,4th Rate,Cork,1758-11-12,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,380,Richard Howe,British,,cruising the western approaches,,4th Rate,Plymouth,1756-11-19,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,381,Richard Howe,British,,Ferrol Harbour - cruising the western approaches,,4th Rate,Plymouth,1757-01-01,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,383,Richard Howe,British,,Halifax,,4th Rate,Plymouth,1755-05-01,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,384,Robert Digby,British,,Plymouth - cruising western approaches,,4th Rate,Dunnoze,1757-12-09,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,385,Robert Digby,British,,Southsea,,4th Rate,Ushant,1758-04-29,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,386,Richard Howe,British,,cruising western approaches,,4th Rate,St Helens,1757-05-07,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,387,Robert Digby,British,,Spithead,,4th Rate,La Rochelle,1757-10-02,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,388,Richard Howe,British,,Spithead,,4th Rate,Ferrol Harbour  ,1757-02-02,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,389,Robert Digby,British,,La Rochelle,,4th Rate,St Helens,1757-09-10,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,390,Robert Digby,British,,Spithead - cruising Bay Biscay,,4th Rate,Ushant,1758-07-05,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Dunkirk,RN,Captain,391,Robert Digby,British,,Spithead,,4th Rate,Senegal Road,1759-01-23,HMS Dunkirk was a 60-gun fourth-rate launched in 1754. She was on harbour service from 1778 and was sold in 1782.,1754-01-01,1782-01-01,60
Egmont,RN,Captain,4706,Robert Fanshaw,British,1st Officer/Master,Leith,William Abbot,3rd Rate,Port Royal,1781-04-03,"HMS Egmont, a 74-gun third rate ship of the line launched in 1768, and broken up in 1799.",1768-01-01,1799-01-01,74
Elephant,RN,Captain,847,Francis Austen,British,,Spithead,,3rd rate,Madeira,1812-11-26,"HMS Elephant (1786) - a 74-gun third-rate launched in 1786, reduced to a 58-gun fourth-rate in 1818, and broken up in 1830.",1786-01-01,1830-01-01,58
Eliza,Merchant Navy,,523,,British,,Plymouth,,,Port Royal Jamaica,1790-10-31,"HMS Elizabeth was a 74-gun third-rate ship of the line launched in 1769. She served in the American War of Independence and the French Revolutionary War, and was broken up in 1797.",1769-01-01,1797-01-01,74
Emerald,RN,Captain,716,John Moutray (author),British,,Spithead,,5th rate,Cadiz,1771-03-28,HMS Emerald (1762) was a 32-gun fifth-rate launched in 1762 and broken up in 1793.,1762-01-01,1793-01-01,32
Endeavour,RN,Captain,376,James Cook,British,,Tahiti,,Bark,Tierra del Fuego,1769-01-27,"HMS Endeavour, also known as HM Bark Endeavour, was a British Royal Navy research vessel that Lieutenant James Cook commanded on his first voyage of discovery, to Australia and New Zealand, from 1769 to 1771.",1769-01-01,1771-01-01,
Endeavour,RN,Captain,377,James Cook,British,,New Zealand,,Bark,Tahiti,1769-09-01,"HMS Endeavour, also known as HM Bark Endeavour, was a British Royal Navy research vessel that Lieutenant James Cook commanded on his first voyage of discovery, to Australia and New Zealand, from 1769 to 1771.",1769-01-01,1771-01-01,
Endeavour,RN,Captain,335,James Cook,British,,Tierra del Fuego,,Bark,Rio de Janeiro,1768-12-08,"She was launched in 1764 as the collier Earl of Pembroke, and the navy purchased her in 1768 for a scientific mission to the Pacific Ocean and to explore the seas for the surmised Terra Australis Incognita or ""unknown southern land"". The navy renamed and commissioned her as His Majesty's Bark the Endeavour. She departed Plymouth in August 1768, rounded Cape Horn, and reached Tahiti in time to observe the 1769 transit of Venus across the Sun. She then set sail into the largely uncharted ocean to the south, stopping at the Pacific islands of Huahine, Bora Bora, and Raiatea to allow Cook to claim them for Great Britain. In September 1769, she anchored off New Zealand, the first European vessel to reach the islands since Abel Tasman's Heemskerck 127 years earlier.",1764-01-01,1769-01-01,
Endeavour,RN,Captain,336,James Cook,British,,Rio de Janeiro,,Bark,Madeira,1768-09-19,"She was launched in 1764 as the collier Earl of Pembroke, and the navy purchased her in 1768 for a scientific mission to the Pacific Ocean and to explore the seas for the surmised Terra Australis Incognita or ""unknown southern land"". The navy renamed and commissioned her as His Majesty's Bark the Endeavour. She departed Plymouth in August 1768, rounded Cape Horn, and reached Tahiti in time to observe the 1769 transit of Venus across the Sun. She then set sail into the largely uncharted ocean to the south, stopping at the Pacific islands of Huahine, Bora Bora, and Raiatea to allow Cook to claim them for Great Britain. In September 1769, she anchored off New Zealand, the first European vessel to reach the islands since Abel Tasman's Heemskerck 127 years earlier.",1764-01-01,1769-01-01,
Endeavour,RN,Captain,375,James Cook,British,,Madeira,,Bark,Deptford,1768-08-27,"She was launched in 1764 as the collier Earl of Pembroke, and the navy purchased her in 1768 for a scientific mission to the Pacific Ocean and to explore the seas for the surmised Terra Australis Incognita or ""unknown southern land"". The navy renamed and commissioned her as His Majesty's Bark the Endeavour. She departed Plymouth in August 1768, rounded Cape Horn, and reached Tahiti in time to observe the 1769 transit of Venus across the Sun. She then set sail into the largely uncharted ocean to the south, stopping at the Pacific islands of Huahine, Bora Bora, and Raiatea to allow Cook to claim them for Great Britain. In September 1769, she anchored off New Zealand, the first European vessel to reach the islands since Abel Tasman's Heemskerck 127 years earlier.",1764-01-01,1769-01-01,
Endeavour,RN,Captain,378,James Cook,British,,UK,,Bark,Cape of Good Hope,1771-04-17,"HMS Endeavour, a 14-gun sloop, purchased in 1763 and foundered in 1780 in a hurricane off Jamaica",1763-01-01,1780-01-01,14
Endeavour,RN,Captain,379,James Cook,British,,Cape of Good Hope,,Bark,Java,1771-01-17,"HMS Endeavour, a 14-gun sloop, purchased in 1763 and foundered in 1780 in a hurricane off Jamaica",1763-01-01,1780-01-01,14
Enterprise,RN,Captain,1338,William Carnegie,British,1st Officer/Master,Downs,Callis Hawford,6th rate,Monserrat,1784-03-23,"HMS Enterprise (1774) was a 28-gun Enterprise-class sixth-rate frigate launched in August 1774, on harbour service from 1790 and broken up in 1807.",1774-01-01,1807-01-01,28
Essex,RN,Captain,1339,W. Stover,British,,Madras,,,Downs,1785-01-14,"HMS Essex (1760), a 64-gun third-rate ship launched in 1760 and sold in 1799",1760-01-01,1799-01-01,64
Europa,RN,Captain,1342,James Vashon,British,,Spithead,,4th rate,"Port Royal, Jamaica",1789-07-21,HMS Europa was a 64-gun third rate launched in 1765. She was renamed HMS Europe in 1778 and was broken up in 1814.,1765-01-01,1814-01-01,64
Europa,RN,Captain,1343,Thomas Surridge,British,1st Officer/Master,Spithead,Edward O'Brien,4th rate,Havannah,1795-06-20,HMS Europa was a 64-gun third rate launched in 1765. She was renamed HMS Europe in 1778 and was broken up in 1814.,1765-01-01,1814-01-01,64
Europa,RN,Captain,1344,George Gregory,British,,Jamaica,,4th rate,Plymouth,1792-11-17,HMS Europa was a 64-gun third rate launched in 1765. She was renamed HMS Europe in 1778 and was broken up in 1814.,1765-01-01,1814-01-01,64
Euryalus,RN,Captain,5294,Henry Blackwood,British,1st Officer/Master,Madeira,Thomas Methuers,5th Rate,Cork,1805-01-28,"Euryalus, launched 1803, was a frigate. Captained by Henry Blackwood, she was at the Battle of Trafalgar, where she was Collingwood's flagship after the death of Nelson. She was broken up in Gibraltar in 1860.",1803-01-01,1860-01-01,
Euryalus,RN,Captain,5295,Henry Blackwood,British,1st Officer/Master,Azores,Thomas Methuers,5th Rate,Madeira,1805-02-18,"Euryalus, launched 1803, was a frigate. Captained by Henry Blackwood, she was at the Battle of Trafalgar, where she was Collingwood's flagship after the death of Nelson. She was broken up in Gibraltar in 1860.",1803-01-01,1860-01-01,
Euryalus,RN,Captain,5298,Henry Blackwood,British,1st Officer/Master,Cork,Thomas Methuers,5th Rate,Azores,1805-04-12,"Euryalus, launched 1803, was a frigate. Captained by Henry Blackwood, she was at the Battle of Trafalgar, where she was Collingwood's flagship after the death of Nelson. She was broken up in Gibraltar in 1860.",1803-01-01,1860-01-01,
Experiment,RN,Captain,4663,Robert Keeler,British,,Antigua,,4th Rate,Fayal,1775-12-25,"HMS Experiment (1772) was a gunboat, built in 1772. Her fate is unknown. Possibly lost in the Great Hurricane of 1780",1772-01-01,1780-01-01,
Experiment,RN,Captain,1353,Simon Miller,British,,Gibraltar,,5th rate,Torbay,1793-03-07,"HMS Experiment (1784) was a 44-gun fifth-rate launched in 1784, used as a storeship from 1795 and for harbour service from 1805. She was sold in 1836. Because Experiment served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1784-01-01,1847-01-01,44
Experiment,RN,Captain,1354,Simon Miller,British,,Barbados,,5th rate,Gibraltar,1793-04-08,"HMS Experiment (1784) was a 44-gun fifth-rate launched in 1784, used as a storeship from 1795 and for harbour service from 1805. She was sold in 1836. Because Experiment served in the navy's Egyptian campaign between 8 March 1801 and 2 September, her officers and crew qualified for the clasp ""Egypt"" to the Naval General Service Medal, which the Admiralty issued in 1847 to all surviving claimants.",1784-01-01,1847-01-01,44
Fairy,RN,Captain,366,Issac George Manley,British,,Apolonia (Africa),,6th rate,Spithead,1789-10-01,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,367,Issac George Manley,British,,Spithead,,6th rate,St Thomas,1790-03-15,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,368,Issac George Manley,British,,Cape Coast,,6th rate,Spithead,1788-11-18,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,369,Joshua Sydney Horton,British,,Siera Leone,,Sloop,Spithead,1799-01-05,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,370,Issac George Manley,British,,Barbados,,6th rate,St Thomas,1789-03-19,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,371,Issac George Manley,British,,Spithead,,6th rate,Barbados,1789-05-13,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,372,Lord William Fitzroy,British,,Carlise Bay Barbados,,Sloop,Cork,1803-11-14,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Fairy,RN,Captain,373,G.H. Creyke,British,1st Officer/Master,Cork,George Spence,Sloop,Jamaica,1805-05-16,"Fairy, a 16-gun Swan class ship sloop, built in 1778 at Sheerness, and broken up in 1811.",1778-01-01,1811-01-01,16
Falcon,RN,Captain,171,R. Edwards,British,,Porto Praya,,Sloop,Fayal,1753-12-15,HMS Falcon was a 14-gun sloop launched in 1744. In 1745 she was captured by the French off Saint Malo. She was recaptured in 1746 and renamed Fortune. Sold in 1770.,1744-01-01,1770-01-01,14
Falcon,RN,Captain,249,R. Edwards,British,,Axim Fort (Coast of Guinea),,Sloop,Porto Praya,1753-01-17,HMS Falcon was a 14-gun sloop launched in 1744. In 1745 she was captured by the French off Saint Malo. She was recaptured in 1746 and renamed Fortune. Sold in 1770.,1744-01-01,1770-01-01,14
Falcon,RN,Captain,261,R. Edwards,British,,Fayal,,Sloop,Plymouth,1753-11-18,HMS Falcon was a 14-gun sloop launched in 1744. In 1745 she was captured by the French off Saint Malo. She was recaptured in 1746 and renamed Fortune. Sold in 1770.,1744-01-01,1770-01-01,14
Falcon,RN,Captain,263,R. Routh,British,,Barbadoes,,Sloop,Winnebah,1753-06-04,HMS Falcon was a 14-gun sloop launched in 1744. In 1745 she was captured by the French off Saint Malo. She was recaptured in 1746 and renamed Fortune. Sold in 1770.,1744-01-01,1770-01-01,14
Falcon,RN ,Captain,670,George Gregory,British,,Spithead,,brig sloop,"Plymouth, Monserrat",1786-05-27,HMS Falcon was a 14-gun brig-sloop launched in 1782. She was used as a fireship and expended in 1800 at Dunkirk Roads.,1782-01-01,1800-01-01,14
Falcon,RN,Captain,672,James Bissett,British,1st Officer/Master,Barbadoes,,brig,Cowes Rd,1791-12-17,HMS Falcon was a 14-gun brig-sloop launched in 1782. She was used as a fireship and expended in 1800 at Dunkirk Roads.,1782-01-01,1800-01-01,14
Falkland,RN,Captain,3898,Francis Samuel Drake,British,1st Officer/Master,Carolina,Alexander McCartie,4th Rate,Kinsale,1757-07-01,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3899,Francis Samuel Drake,British,1st Officer/Master,Fernando Noronha,Robert Gideon,4th Rate,Spithead,1759-02-18,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3900,Francis Samuel Drake,British,1st Officer/Master,Spithead,Robert Gideon,4th Rate,Fernando Noronha,1759-06-13,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3901,Francis Samuel Drake,British,1st Officer/Master,Spithead,John O'Bryen,4th Rate,Fernando Noronha,1759-06-13,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3903,Francis Samuel Drake,British,1st Officer/Master,Plymouth,Alexander McCartie,4th Rate,St Martins,1758-06-08,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3904,Francis S Drake,British,1st Officer/Master,Halifax,Robert Gideon,4th Rate,Spithead,1760-03-09,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falkland,RN,Captain,3905,Francis S Drake,British,1st Officer/Master,Basse Terre,Robert Scott,4th Rate,New York,1761-05-04,"HMS Falkland was a 54-gun fourth rate ship of the line, purchased in 1696. She was the first warship to be built in what would become the United States. She was rebuilt several times and transferred out of the Royal Navy in 1768.",1696-01-01,1768-01-01,54
Falmouth,RN,Captain,3937,Richard Hughes,British,1st Officer/Master,Funchal Road,John Smith,4th Rate,Spithead,1759-04-16,HMS Falmouth (1752) was a 50-gun fourth rate launched in 1752. She was beached and abandoned at Batavia on 16 January 1765 after suffering serious battle damage off Manila.,1752-01-01,1765-01-01,50
Falmouth,RN,Captain,3938,Richard Hughes,British,1st Officer/Master,"Augustine Bay, Madagascar",John Smith,4th Rate,Funchal Road,1759-05-08,HMS Falmouth (1752) was a 50-gun fourth rate launched in 1752. She was beached and abandoned at Batavia on 16 January 1765 after suffering serious battle damage off Manila.,1752-01-01,1765-01-01,50
Falmouth,RN,Captain,3939,Richard Hughes,British,1st Officer/Master,Madras,Nathaniel Gooding,4th Rate,Tillecherry Road,1759-12-30,HMS Falmouth (1752) was a 50-gun fourth rate launched in 1752. She was beached and abandoned at Batavia on 16 January 1765 after suffering serious battle damage off Manila.,1752-01-01,1765-01-01,50
Falmouth,RN,Captain,3940,Richard Hughes,British,1st Officer/Master,Calicut,John Smith,4th Rate,"Augustine Bay, Madagascar",1759-09-02,HMS Falmouth (1752) was a 50-gun fourth rate launched in 1752. She was beached and abandoned at Batavia on 16 January 1765 after suffering serious battle damage off Manila.,1752-01-01,1765-01-01,50
Falmouth,RN,Captain,3941,William Brereton,British,1st Officer/Master,Rodriquez,Nathaniel Gooding,4th Rate,Pondicherry,1761-08-08,HMS Falmouth (1752) was a 50-gun fourth rate launched in 1752. She was beached and abandoned at Batavia on 16 January 1765 after suffering serious battle damage off Manila.,1752-01-01,1765-01-01,50
Favourite,RN,,4204,,British,,"St. Johns, Newfoundland",,Sloop,UK,1766-06-09,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4205,,British,,"Fort St Julian, Lisbon",,Sloop,St Johns Newfoundland,1767-09-03,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4206,,British,,Madeira,,Sloop,Spithead,1768-10-29,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4207,,British,,Porta Praya,,Sloop,Madeira,1768-11-17,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4209,,British,,Falkland Islands,,Sloop,Porta Praya,1768-11-29,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4210,,British,,Fayal,,Sloop,Port Egmont,1770-07-14,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4211,,British,,Spithead,,Sloop,Fayal,1770-09-12,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4212,,British,,St Pauls island,,Sloop,Newfoundland,1766-08-03,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4213,,British,,Bretts Harbour,,Sloop,Port Egmont,1769-10-01,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4214,,British,,Port Egmont,,Sloop,Bretts Harbour,1769-11-09,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4215,,British,,cruising,,Sloop,Port Egmont,1769-12-23,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4216,,British,,Port Desire,,Sloop,Port Egmont,1770-03-29,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,,4217,,British,,Port Egmont,,Sloop,Port Desire,1770-04-12,HMS Favourite was a 14-gun sloop launched in 1757 and sold in 1784.,1757-01-01,1784-01-01,14
Favourite,RN,Captain,1355,James Athol Wood,British,,Carlisle Bay,,sloop,Spithead,1795-09-04,"HMS Favourite was a 16-gun sloop launched in 1794. She was captured by the French in 1806 and renamed Favorite, but was recaptured by the British in 1807 and renamed HMS Goree. She became a prison ship in 1814 and was broken up in 1817.",1794-01-01,1817-01-01,16
Ferret,RN,,5008,,British,,Spithead,,Sloop,Jamaica,1772-09-29,HMS Ferret was a 14-gun sloop launched in 1760. She foundered in a hurricane in 1776.,1760-01-01,1776-01-01,14
